ID,"De 0 a 5, o quanto voce sabe sobre o que e CRM?","de 0 a 5, o quanto voce conhece sobre Salesforce (Considere 0 como nao conheco e 5 como conheco muito)","Qual o tamanho da sua empresa? (Considere 1 como pequena empresa de 0 a 9 funcionarios, 2 como media empresa de 10 a 50 funcionarios e 3 como grande empresa, acima de 50 funcionarios",O Quao importante voce considera o uso de CRM para a sua empresa?,Voce consideraria realizar o teste gratis da Salesforce?
1,0,0,1,5,0
2,0,0,1,0,0
3,3,4,1,5,1
4,0,0,1,0,0
5,3,3,3,4,1
6,2,1,1,2,1
7,4,5,1,5,1
8,3,0,1,5,1
9,0,0,1,1,0
10,1,1,3,5,1
11,0,0,1,0,0
12,1,1,1,2,1
13,3,0,1,1,0
14,1,0,1,1,0
15,3,1,1,1,0
16,0,0,1,0,0
17,3,0,1,0,0
18,3,0,1,5,0
19,5,4,2,4,0
20,5,3,2,5,1
21,3,4,3,5,1
22,0,0,2,0,0
23,4,1,1,3,0
24,3,3,1,3,1
25,1,1,1,2,0
26,3,1,3,5,0
27,0,1,1,5,1
28,5,3,3,5,1
29,4,0,1,3,1
30,5,4,1,5,1
31,5,4,3,5,1
32,5,4,3,5,1
33,0,0,3,3,0
34,4,4,3,4,1
35,5,5,2,5,1
36,0,0,2,3,0
37,2,0,1,3,1
38,3,1,1,2,1
39,0,0,1,5,1
40,4,4,3,5,0
41,5,5,2,5,1
42,0,0,1,0,0
43,0,0,1,0,0
44,0,0,1,4,1
45,0,0,3,0,0
46,3,4,1,4,1
47,3,0,1,1,0
48,1,1,1,0,0
49,2,2,3,4,1
50,4,3,1,4,1
51,2,3,4,5,1
52,3,3,2,4,1
53,1,1,1,1,0
54,2,1,1,0,0
55,1,2,2,1,0
56,0,0,0,0,0
